iter	RMSE
0	3.492256451
1	3.48560325
2	3.479166489
3	3.476214092
4	3.472707504
5	3.469113107
6	3.464169724
7	3.461668271
8	3.459814203
9	3.453886514
10	3.450730901
11	3.448561412
12	3.442737387
13	3.441358859
14	3.43590119
15	3.432093004
16	3.430444892
17	3.426208755
18	3.422368665
19	3.418438652
20	3.413241864
21	3.411630481
22	3.408251775
23	3.4037903
24	3.400818882
25	3.39961478
26	3.397985716
27	3.395858683
28	3.392030052
29	3.389999341
30	3.388007196
31	3.384779765
32	3.381923414
33	3.378819254
34	3.376545025
35	3.372577004
36	3.370788485
37	3.368382926
38	3.365403531
39	3.364393478
40	3.362564729
41	3.359915756
42	3.357338892
43	3.353774116
44	3.352199234
45	3.347545506
46	3.342634214
47	3.341106084
48	3.338336281
49	3.333896601
50	3.331223733
51	3.327437547
52	3.32427176
53	3.322906113
54	3.313470179
55	3.308544503
56	3.305015973
57	3.304027019
58	3.302232633
59	3.298198547
60	3.292790635
61	3.288562461
62	3.286311909
63	3.283392285
64	3.279028828
65	3.275172603
66	3.273353003
67	3.26960875
68	3.266922923
69	3.264915781
70	3.262763863
71	3.258730331
72	3.255954745
73	3.251954758
74	3.249264066
75	3.245727586
76	3.242837157
77	3.240078778
78	3.235771117
79	3.233217967
80	3.230561913
81	3.227017606
82	3.223119149
83	3.220271044
84	3.218133493
85	3.215618579
86	3.213579429
87	3.210264111
88	3.205889468
89	3.203833738
90	3.201715068
91	3.199880669
92	3.198757804
93	3.195490109
94	3.192456096
95	3.190331626
96	3.18881453
97	3.187279396
98	3.186252853
99	3.184429776
