iter	Passed	Remaining
0	55	5503
1	55	2739
2	56	1818
3	56	1355
4	56	1077
5	56	892
6	57	760
7	57	661
8	57	584
9	58	522
10	58	472
11	58	430
12	58	394
13	59	363
14	59	337
15	59	313
16	60	293
17	60	275
18	60	259
19	61	245
20	61	232
21	62	220
22	62	209
23	62	199
24	63	189
25	63	181
26	64	173
27	64	165
28	64	158
29	65	151
30	65	145
31	65	139
32	66	134
33	66	129
34	66	124
35	67	119
36	67	114
37	67	110
38	67	106
39	68	102
40	68	98
41	68	94
42	68	91
43	68	87
44	69	84
45	69	81
46	69	78
47	69	75
48	70	72
49	70	70
50	70	67
51	70	65
52	70	62
53	71	60
54	71	58
55	71	56
56	71	54
57	72	52
58	72	50
59	72	48
60	72	46
61	72	44
62	73	42
63	73	41
64	73	39
65	73	38
66	74	36
67	74	35
68	74	33
69	75	32
70	75	30
71	75	29
72	75	28
73	76	26
74	76	25
75	76	24
76	76	22
77	77	21
78	77	20
79	77	19
80	77	18
81	78	17
82	78	16
83	78	14
84	78	13
85	79	12
86	79	11
87	79	10
88	80	9
89	80	8
90	80	7
91	80	7
92	80	6
93	81	5
94	81	4
95	81	3
96	82	2
97	82	1
98	82	0
99	83	0
